,March_BNB,March_BNB,March_BNB,April_BNB,April_BNB,April_BNB,May_BNB,May_BNB,May_BNB,June_BNB,June_BNB,June_BNB,July_BNB,July_BNB,July_BNB
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
51,2022-03-24 17:24:45,-0.178378,Somewhat-Bearish,2022-04-18 07:46:16,0.028865,Neutral,2022-05-23 08:12:30,-0.083573,Neutral,2022-06-13 23:25:39,0.059306,Neutral,2022-07-22 12:56:00,0.19809,Somewhat-Bullish
52,2022-03-24 20:32:00,0.02598,Neutral,2022-04-18 09:45:11,0.003423,Neutral,2022-05-23 08:42:05,-0.047059,Neutral,2022-06-14 01:34:44,-0.103446,Neutral,2022-07-22 13:47:48,0.310308,Somewhat-Bullish
53,2022-03-24 23:15:16,0.015737,Neutral,2022-04-18 09:59:37,0.032124,Neutral,2022-05-23 09:54:42,-0.073248,Neutral,2022-06-14 05:28:46,-0.166103,Somewhat-Bearish,2022-07-22 16:08:13,0.300671,Somewhat-Bullish
54,2022-03-25 19:00:00,-0.104341,Neutral,2022-04-18 15:45:00,-0.008126,Neutral,2022-05-23 13:01:50,0.072171,Neutral,2022-06-14 06:09:03,0.226003,Somewhat-Bullish,2022-07-22 19:04:58,0.10094,Neutral
55,2022-03-28 15:21:34,0.06102,Neutral,2022-04-18 20:17:25,-0.166492,Somewhat-Bearish,2022-05-23 20:15:00,-0.024067,Neutral,2022-06-14 07:36:36,0.056246,Neutral,2022-07-24 19:40:25,0.053152,Neutral
56,2022-03-28 16:50:00,0.093006,Neutral,2022-04-19 04:31:59,0.034535,Neutral,2022-05-24 02:22:31,-0.062192,Neutral,2022-06-14 10:26:35,0.083733,Neutral,2022-07-25 18:24:56,-0.036448,Neutral
57,2022-03-28 20:13:37,-0.089815,Neutral,2022-04-19 09:26:11,0.162216,Somewhat-Bullish,2022-05-24 03:27:05,0.021079,Neutral,2022-06-14 10:54:09,-0.083732,Neutral,2022-07-26 12:00:00,0.357747,Bullish
58,2022-03-29 01:56:21,-0.011933,Neutral,2022-04-19 13:09:55,-0.37226,Bearish,2022-05-24 05:50:02,0.024217,Neutral,2022-06-14 13:33:15,-0.095446,Neutral,2022-07-26 14:37:30,0.207447,Somewhat-Bullish
59,2022-03-29 07:17:21,0.060634,Neutral,2022-04-20 03:09:01,0.037732,Neutral,2022-05-24 10:14:34,-0.004959,Neutral,2022-06-14 13:52:40,-0.020137,Neutral,2022-07-27 14:06:00,0.247928,Somewhat-Bullish
60,2022-03-29 17:45:00,0.02305,Neutral,2022-04-20 14:10:19,0.095469,Neutral,2022-05-24 13:30:38,-0.056941,Neutral,2022-06-14 18:37:28,-0.026926,Neutral,2022-07-27 17:27:34,-0.009686,Neutral
61,2022-03-30 14:50:45,-0.16043,Somewhat-Bearish,2022-04-20 17:15:00,0.05263,Neutral,2022-05-25 01:51:32,-0.269679,Somewhat-Bearish,2022-06-15 03:47:52,-0.032817,Neutral,2022-07-28 13:03:00,0.14967,Neutral
62,2022-03-30 18:02:13,0.033971,Neutral,2022-04-21 02:25:18,-0.050228,Neutral,2022-05-25 03:57:25,0.004688,Neutral,2022-06-15 09:32:38,-0.143207,Neutral,2022-07-28 17:34:01,0.21238,Somewhat-Bullish
63,2022-03-30 18:20:22,-0.081902,Neutral,2022-04-21 04:06:40,0.106923,Neutral,2022-05-25 19:50:00,-0.172651,Somewhat-Bearish,2022-06-15 16:07:43,-0.099826,Neutral,2022-07-29 03:44:00,0.374569,Bullish
64,2022-03-30 18:48:33,-0.010487,Neutral,2022-04-21 06:01:03,0.022306,Neutral,2022-05-26 12:15:00,0.110463,Neutral,2022-06-15 19:40:00,-0.183836,Somewhat-Bearish,2022-07-29 19:55:10,0.093969,Neutral
65,2022-03-30 19:56:11,0.04012,Neutral,2022-04-21 09:10:24,0.012485,Neutral,2022-05-27 11:20:00,-0.121812,Neutral,2022-06-16 12:31:48,-0.024053,Neutral,,,
66,,,,2022-04-21 09:47:36,0.105067,Neutral,2022-05-27 12:40:00,-0.095592,Neutral,2022-06-17 02:55:47,0.011765,Neutral,,,
