Date,Open,High,Low,Close,Volume,Market Cap
6/10/2021,2610.2,2624.46,2425.11,2471.09,741237.4993,741237.4993
6/11/2021,2471.01,2497.99,2321.37,2354.01,587364.2736,587364.2736
6/12/2021,2354.09,2454.53,2256.22,2370.74,767439.4984,767439.4984
6/13/2021,2370.64,2548.41,2308.41,2509.33,715948.7599,715948.7599
6/14/2021,2509.33,2609.17,2461,2580.77,684183.5562,684183.5562
6/15/2021,2580.58,2640,2507.7,2543.54,599826.6493,599826.6493
6/16/2021,2543.55,2556.19,2351.18,2367.89,624741.7836,624741.7836
6/17/2021,2368.02,2460.5,2306,2373.28,560667.5857,560667.5857
6/18/2021,2373.28,2378,2139,2234.09,778905.202,778905.202
6/19/2021,2234.09,2278.82,2161.67,2164.67,496872.25,496872.25
6/20/2021,2165.34,2280.01,2040.68,2243.47,743883.6474,743883.6474
6/21/2021,2243.49,2260.16,1865.54,1885.49,1629819.666,1629819.666
6/22/2021,1885.27,1998,1700.48,1879.28,1695338.081,1695338.081
6/23/2021,1879.29,2045,1821.95,1968.14,918612.3049,918612.3049
6/24/2021,1967.95,2036.61,1884.79,1989.52,701231.6748,701231.6748
6/25/2021,1989.53,2019.99,1791.22,1808.82,858808.5477,858808.5477
6/26/2021,1808.97,1852.8,1717.32,1829.64,832315.149,832315.149
6/27/2021,1829.84,1984.5,1804.26,1982.28,696055.7931,696055.7931
6/28/2021,1982.27,2145,1960.52,2084.41,1044244.683,1044244.683
6/29/2021,2084.42,2245,2073.57,2165.33,831257.2328,831257.2328
6/30/2021,2165.46,2287.78,2087.99,2275.68,910583.6032,910583.6032
7/1/2021,2275.68,2275.93,2073.12,2106.41,787865.2514,787865.2514
7/2/2021,2106.41,2160,2018.5,2154.13,672282.3748,672282.3748
7/3/2021,2153.95,2240,2112.01,2226.99,569264.801,569264.801
7/4/2021,2226.99,2389.93,2189.58,2322.69,590656.2507,590656.2507
7/5/2021,2322.69,2324.64,2157.32,2196.53,781806.3161,781806.3161
7/6/2021,2196.85,2350,2193,2322.5,785330.1715,785330.1715
7/7/2021,2322.51,2409,2291.9,2316.57,666501.3557,666501.3557
7/8/2021,2316.25,2325.6,2084.79,2116.33,880265.0412,880265.0412
7/9/2021,2116.32,2189.4,2046.51,2146.99,738611.363,738611.363
7/10/2021,2146.99,2194.82,2074.16,2110.69,499071.859,499071.859
7/11/2021,2110.68,2174,2081.02,2140.45,342294.403,342294.403
7/12/2021,2140.54,2167.83,2006.68,2031.58,540630.1074,540630.1074
7/13/2021,2031.57,2047.35,1918,1940.15,647388.2497,647388.2497
7/14/2021,1940.44,2019.18,1865,1994.58,690505.6094,690505.6094
7/15/2021,1994.41,2042.88,1881,1919.51,645271.3256,645271.3256
7/16/2021,1919.54,1965,1850,1876.26,577068.8972,577068.8972
